v0 X,v0 Y,0 X,0 Y,15 X,15 Y,30 X,30 Y
-0.0056,-0.00340086,-0.00557,-0.00311736,0.00343,-0.0037214,0.00765,-0.0037214
0.23412,0.1462,0.23541,0.13,0.23776,0.1214,0.24291,0.1096
0.46933,0.2852,0.47281,0.2516,0.47504,0.2388,0.48138,0.2154
0.70535,0.4106,0.71038,0.3584,0.71461,0.3416,0.7225,0.3072
0.94404,0.5192,0.95081,0.4472,0.95564,0.4258,0.96462,0.3816
1.18529,0.6064,1.19424,0.5172,1.19753,0.4892,1.20758,0.4382
1.42905,0.6704,1.43932,0.5686,1.44405,0.5342,1.45488,0.48
1.67496,0.7122,1.68541,0.6048,1.69164,0.5648,1.70308,0.5102
1.92165,0.7384,1.93291,0.6306,1.94114,0.5864,1.95254,0.533
2.17053,0.7556,2.18132,0.6496,2.19036,0.6026,2.20283,0.5502
2.41945,0.7686,2.43,0.6648,2.44065,0.6152,2.4527,0.5638
2.66882,0.7786,2.67878,0.677,2.69205,0.626,2.70394,0.5748
2.91935,0.7866,2.92922,0.6876,2.94236,0.6346,2.95359,0.5846
3.16769,0.7928,3.17777,0.6964,3.19414,0.6426,3.20433,0.5924
3.41685,0.7978,3.42627,0.7046,3.44544,0.649,3.45337,0.5994
3.66604,0.8018,3.67606,0.7114,3.69633,0.6548,3.70152,0.6056
3.9158,0.8052,3.92464,0.7184,3.94702,0.6604,3.94945,0.6116
4.16479,0.808,4.17345,0.7244,4.19437,0.6652,4.19821,0.6168
4.41359,0.8102,4.42172,0.7298,4.44135,0.6696,4.46016,0.6218
4.66246,0.8122,4.67061,0.7346,4.70433,0.674,4.74906,0.6262
4.91332,0.814,4.92093,0.7392,4.91542,0.6778,4.92478,0.63
5.162,0.8156,5.16967,0.7432,5.16665,0.681,5.17289,0.6334
5.41267,0.8164,5.41787,0.7466,5.41787,0.6844,5.42463,0.6372
5.66285,0.8176,5.66909,0.75,5.66129,0.6874,5.67533,0.6402
5.91823,0.8188,5.92239,0.7532,5.92135,0.6902,5.92291,0.6434
6.16217,0.8196,6.16997,0.7558,6.16633,0.6928,6.17361,0.6458
6.41339,0.8204,6.41391,0.7582,6.41651,0.695,6.4212,0.6484
6.66306,0.8212,6.6719,0.76,6.66722,0.6974,6.67398,0.6508
6.91376,0.8222,6.92,0.7622,6.92052,0.6994,6.92676,0.653
7.1655,0.8226,7.16758,0.764,7.16706,0.7014,7.17174,0.6558
7.41464,0.8234,7.42036,0.7656,7.41464,0.7032,7.42192,0.657
7.66326,0.824,7.66742,0.7668,7.66534,0.7052,7.67367,0.659
7.91189,0.8244,7.91449,0.7684,7.91397,0.7066,7.92281,0.6606
8.16311,0.8248,8.16727,0.7696,8.16779,0.7086,8.16779,0.6626
8.41433,0.8254,8.41693,0.7708,8.41797,0.7102,8.42265,0.6644
8.66035,0.8256,8.66763,0.7714,8.66503,0.7116,8.67023,0.6656
8.91105,0.8262,8.91677,0.7722,8.91521,0.7132,8.91781,0.6668
9.16123,0.8266,9.16748,0.7734,9.16331,0.715,9.17008,0.6684
9.40778,0.827,9.41298,0.7742,9.41298,0.7164,9.41662,0.6698
9.65952,0.8272,9.66524,0.7746,9.66368,0.7176,9.67044,0.6712
9.91178,0.8276,9.9149,0.7754,9.9149,0.7196,9.91906,0.6722
10.1609,0.828,10.162,0.776,10.163,0.7208,10.1666,0.6734
